,Summary,Safety Issues,Location,Title,Date Occurred,Decision Events,Skill Based Events,Routine Violation,Physical Environment,Technical Environment,Communications,Awareness Cognitive Factors,Inadequate Supervision,Planned Inappropriate Operations,Organizational Processes,Resource Management,Overall Info
10,"the jack-up barge octopus was being towed from kirkwall to seal skerry bay in the orkney islands by the tug harald, to act as a platform for the installation of a prototype tidal turbine. the tug and tow altered their route to pass to the west of little green holm island, due to the strong tidal streams experienced during the passage, a route not usually used by deep draught vessels. as the tug and tow rounded the south of little green holm island the barge, which was being towed with its legs extended to a depth of 13m, grounded on an uncharted bank of 7.1m.",the tug skipper and the tow master relied upon 19th century leadline surveyed charts for the passage of a deep draught vessel outside of a recognised traffic routethe passage plan and execution underestimated the effect of tidal stream on the tug and towdepths that are significantly less than charted might exist around the uk coastline. the hazard of the bank was not identified as this was not charted,"Stronsay Firth, near the Orkney Islands, Scotland",Grounding on uncharted bank of jack-up barge Octopus while being towed by tug Harald,8 September 2006,0,0,0,1,0,0,0,1,0,0,1,"Summary: the jack-up barge octopus was being towed from kirkwall to seal skerry bay in the orkney islands by the tug harald, to act as a platform for the installation of a prototype tidal turbine. the tug and tow altered their route to pass to the west of little green holm island, due to the strong tidal streams experienced during the passage, a route not usually used by deep draught vessels. as the tug and tow rounded the south of little green holm island the barge, which was being towed with its legs extended to a depth of 13m, grounded on an uncharted bank of 7.1m. Safety Issues: the tug skipper and the tow master relied upon 19th century leadline surveyed charts for the passage of a deep draught vessel outside of a recognised traffic routethe passage plan and execution underestimated the effect of tidal stream on the tug and towdepths that are significantly less than charted might exist around the uk coastline. the hazard of the bank was not identified as this was not charted"
11,"​​on july 12, 2021, about 0323 local time, the bulk carrier jalma topic was transiting upriver on the lower mississippi river near new orleans, louisiana (mile 93.5), when it lost steering and struck a barge with an office accommodation structure on the bank. none of the 3 persons on the office barge or 20 persons (19 crew and a pilot) on the jalma topic were injured. the office barge and moorings sustained damages estimated at $6 million. the bow of the jalma topic sustained an estimated $215,000 in damages. no pollution or injuries were reported.",we determined that the probable cause of the contact of the jalma topic with the office barge was a loss of steering due to the failure of an electrical solid-state relay on the servo control board of the operating control system to the steering gear. contributing was the lack of specific procedures available to the bridge team to respond to a failure of the steering control system.​,"New Orleans, LA",Contact of Bulk Carrier Jalma Topic with Floating Office Structure,7/12/2021,0,0,0,0,1,0,0,0,1,1,1,"Summary: ​​on july 12, 2021, about 0323 local time, the bulk carrier jalma topic was transiting upriver on the lower mississippi river near new orleans, louisiana (mile 93.5), when it lost steering and struck a barge with an office accommodation structure on the bank. none of the 3 persons on the office barge or 20 persons (19 crew and a pilot) on the jalma topic were injured. the office barge and moorings sustained damages estimated at $6 million. the bow of the jalma topic sustained an estimated $215,000 in damages. no pollution or injuries were reported. Safety Issues: we determined that the probable cause of the contact of the jalma topic with the office barge was a loss of steering due to the failure of an electrical solid-state relay on the servo control board of the operating control system to the steering gear. contributing was the lack of specific procedures available to the bridge team to respond to a failure of the steering control system.​"
12,"on may 17, 2020, about 0530 local time, a shipyard worker reported that the towing vessel alton st. amant was partially submerged while moored at a shipyard in the harvey canal in new orleans, louisiana.​ there were no crewmembers or shipyard workers aboard the vessel. approximately five gallons of diesel fuel were released into the water. damage to the vessel was estimated at $1.5 million. no injuries were reported.","the probable cause of the flooding of the towing vessel alton st. amant was the absence of shipyard pre-inspection and monitoring procedures for water transfer, which resulted in potable water tanks overflowing through their open access hatches during an unmonitored transfer.​","New Orleans, LA",Flooding of Towing Vessel Alton St. Amant,5/17/2020,1,0,0,0,1,0,0,0,0,1,0,"Summary: on may 17, 2020, about 0530 local time, a shipyard worker reported that the towing vessel alton st. amant was partially submerged while moored at a shipyard in the harvey canal in new orleans, louisiana.​ there were no crewmembers or shipyard workers aboard the vessel. approximately five gallons of diesel fuel were released into the water. damage to the vessel was estimated at $1.5 million. no injuries were reported. Safety Issues: the probable cause of the flooding of the towing vessel alton st. amant was the absence of shipyard pre-inspection and monitoring procedures for water transfer, which resulted in potable water tanks overflowing through their open access hatches during an unmonitored transfer.​"
13,"on june 7, 2022, about 1204 eastern daylight time, the us coast guard received a report of an engine room fire aboard the 169-foot-long passenger vessel spirit of norfolk while it was underway on the elizabeth river near naval station norfolk, virginia. the vessel was on a 2-hour sightseeing cruise with 108 persons on board. the crew determined they could not enter the smoke-filled engine room to fight the fire, the vessel lost propulsion, and the passengers and crew evacuated to one of the good samaritan vessels on scene. the spirit of norfolk was towed to a us navy pier. the fire spread throughout the vessel before being extinguished 4 days later. there were no injuries, and no pollution was reported.","we found that actions of the spirit of norfolk crew and good samaritan vessels and crew resulted in a timely and effective evacuation with no injuries. however, we found that the communications between the firefighting teams and the unified command were ineffective: the unified command was unaware that the firefighting teams were unable to locate the engine room emergency hatch. when the fire attack team opened the engine room door instead of the hatch, the fire was able to spread. members of the unified command and firefighting personnel declined postcasualty interviews, so the national transportation safety board did not receive critical information about the response. lessons learned from this casualty could improve contingency planning for maritime firefighting. ","Norfolk, VA",Engine Room Fire aboard Passenger Vessel Spirit of Norfolk,6/7/2022,0,0,0,0,0,1,0,0,1,0,0,"Summary: on june 7, 2022, about 1204 eastern daylight time, the us coast guard received a report of an engine room fire aboard the 169-foot-long passenger vessel spirit of norfolk while it was underway on the elizabeth river near naval station norfolk, virginia. the vessel was on a 2-hour sightseeing cruise with 108 persons on board. the crew determined they could not enter the smoke-filled engine room to fight the fire, the vessel lost propulsion, and the passengers and crew evacuated to one of the good samaritan vessels on scene. the spirit of norfolk was towed to a us navy pier. the fire spread throughout the vessel before being extinguished 4 days later. there were no injuries, and no pollution was reported. Safety Issues: we found that actions of the spirit of norfolk crew and good samaritan vessels and crew resulted in a timely and effective evacuation with no injuries. however, we found that the communications between the firefighting teams and the unified command were ineffective: the unified command was unaware that the firefighting teams were unable to locate the engine room emergency hatch. when the fire attack team opened the engine room door instead of the hatch, the fire was able to spread. members of the unified command and firefighting personnel declined postcasualty interviews, so the national transportation safety board did not receive critical information about the response. lessons learned from this casualty could improve contingency planning for maritime firefighting. "
14,"on 10 july 2016, the passenger vessel royal iris of the mersey grounded on the remains of a mooring dolphin while manoeuvring toward eastham lock at the entrance to the manchester ship canal. the vessel’s 66 passengers were evacuated without incident and there were no injuries or pollution. the port propeller and rudder were damaged requiring the vessel to be removed from service and drydocked. our investigation identified that the ferry’s experienced crew were focussed on a vessel departing the lock. the bridge team were navigating solely by eye and did not appreciate that the ferry was close to a submerged derelict mooring dolphin. the post-accident actions of the ferry’s crew were immediate and effective",navigation by eye is not always accurate. more accurate means of monitoring are sometimes requiredthe vessel was not equipped with an electronic chart display and the paper charts used were not referred to,"Approaches to Eastham lock, River Mersey, England",Grounding of passenger vessel Royal Iris of the Mersey,10 July 2016,0,0,0,0,0,0,0,0,0,0,1,"Summary: on 10 july 2016, the passenger vessel royal iris of the mersey grounded on the remains of a mooring dolphin while manoeuvring toward eastham lock at the entrance to the manchester ship canal. the vessel’s 66 passengers were evacuated without incident and there were no injuries or pollution. the port propeller and rudder were damaged requiring the vessel to be removed from service and drydocked. our investigation identified that the ferry’s experienced crew were focussed on a vessel departing the lock. the bridge team were navigating solely by eye and did not appreciate that the ferry was close to a submerged derelict mooring dolphin. the post-accident actions of the ferry’s crew were immediate and effective Safety Issues: navigation by eye is not always accurate. more accurate means of monitoring are sometimes requiredthe vessel was not equipped with an electronic chart display and the paper charts used were not referred to"
15,"on 25 may 2020, a family were enjoying a day out on the water in the camel estuary, cornwall, on their 5.4m motor cruiser norma g. the boat was capsized by a large wave close to the doom bar. the owner’s 17-year-old daughter became trapped in the cabin when the boat capsized, and she was unable to escape before the cabin filled with water and she sadly drowned.",the owner’s daughter died as a result of drowning after being trapped in the cabin of norma g when it was capsizednorma g’s owner’s limited boating experience meant he did not fully appreciate the dangers of being so close to the doom bar around low waterthe owner’s daughter’s inflated lifejacket prevented her from swimming down and out of the submerged cabin door,"Camel Estuary, near Padstow, Cornwall, England",Capsize of motor cruiser Norma G with loss of 1 life,25 May 2020,0,0,0,1,0,0,1,0,1,1,0,"Summary: on 25 may 2020, a family were enjoying a day out on the water in the camel estuary, cornwall, on their 5.4m motor cruiser norma g. the boat was capsized by a large wave close to the doom bar. the owner’s 17-year-old daughter became trapped in the cabin when the boat capsized, and she was unable to escape before the cabin filled with water and she sadly drowned. Safety Issues: the owner’s daughter died as a result of drowning after being trapped in the cabin of norma g when it was capsizednorma g’s owner’s limited boating experience meant he did not fully appreciate the dangers of being so close to the doom bar around low waterthe owner’s daughter’s inflated lifejacket prevented her from swimming down and out of the submerged cabin door"
16,"on april 15, 2019, the dejeanne maria struck the end of a submerged dredge pipeline on the mississippi river in pass a loutre, 2 miles south of pilottown, louisiana, while pushing 2 spud barges to the gulf of mexico. following the contact, the three crewmembers abandoned the vessel to its barges and were rescued by a good samaritan vessel. the dejeanne maria later sank. there were no reported injuries, but 70 gallons of diesel fuel were discharged, and damage to the vessel was estimated at $650,000.","​​the probable cause of the contact between the towing vessel dejeanne maria and a submerged dredge pipeline end was the last bathymetric survey not detecting the hazard, which had been brought to just below the surface due to an unsuccessful lift the day before.​","Pilottown, LA",Contact of Towing Vessel DeJeanne Maria with Submerged Dredge Pipe,4/15/2019,0,0,0,0,1,0,0,1,0,0,0,"Summary: on april 15, 2019, the dejeanne maria struck the end of a submerged dredge pipeline on the mississippi river in pass a loutre, 2 miles south of pilottown, louisiana, while pushing 2 spud barges to the gulf of mexico. following the contact, the three crewmembers abandoned the vessel to its barges and were rescued by a good samaritan vessel. the dejeanne maria later sank. there were no reported injuries, but 70 gallons of diesel fuel were discharged, and damage to the vessel was estimated at $650,000. Safety Issues: ​​the probable cause of the contact between the towing vessel dejeanne maria and a submerged dredge pipeline end was the last bathymetric survey not detecting the hazard, which had been brought to just below the surface due to an unsuccessful lift the day before.​"
17,"on 31 january 2008, the roll on roll off passenger ferry, pride of canterbury, grounded on a charted wreck while sheltering from heavy weather in an area known as ‘the downs’ off deal, kent. the vessel suffered severe damage to her port propeller system but was able to proceed unaided to dover, where she berthed with the assistance of two tugs.","the bridge team became distracted by a fire alarm and a number of telephone calls for information of a non-navigational naturethe vessel overshot the northern limit of the safe area before the turn was startedthe officer of the watch was navigating by eye and with reference to an electronic chart system which was sited prominently at the front of the bridge, but he was untrained in the use and limitations of the systemthe wreck would not have been displayed on the electronic chart due to the user settings in use at the time. a paper chart was available, but positions had only been plotted on it sporadically and it was not referred to at the crucial time","The Downs, off Deal, Kent, England",Grounding of ro-ro passenger ferry Pride of Canterbury while sheltering from heavy weather,31 January 2008,0,0,1,0,1,0,1,0,1,1,0,"Summary: on 31 january 2008, the roll on roll off passenger ferry, pride of canterbury, grounded on a charted wreck while sheltering from heavy weather in an area known as ‘the downs’ off deal, kent. the vessel suffered severe damage to her port propeller system but was able to proceed unaided to dover, where she berthed with the assistance of two tugs. Safety Issues: the bridge team became distracted by a fire alarm and a number of telephone calls for information of a non-navigational naturethe vessel overshot the northern limit of the safe area before the turn was startedthe officer of the watch was navigating by eye and with reference to an electronic chart system which was sited prominently at the front of the bridge, but he was untrained in the use and limitations of the systemthe wreck would not have been displayed on the electronic chart due to the user settings in use at the time. a paper chart was available, but positions had only been plotted on it sporadically and it was not referred to at the crucial time"
18,"on november 22, 2020, about 2122 local time, the towing vessels trent joseph and george c together were towing two barges southbound in the barataria waterway near barataria, louisiana. while passing through the open barataria bridge, the second barge contacted the bridge’s swing span. the bridge, which was the only means of road access for the community of barataria, was damaged and remained unusable until november 28. there were no injuries and no pollution reported. damage to the barge was negligible, while damage to the bridge was reported to be more than $500,000.",​the national transportation safety board determines that the probable cause of the contact of the tow of the trent joseph with the barataria bridge was a corner of the bridge’s swing span protruding outside of its protective fendering into the navigable channel after recently attempted repairs to the limit switch system that controlled the swing span’s rotation limit.​​,"Lafitte, LA",Contact of Trent Joseph Tow with Barataria Bridge,11/22/2020,0,0,0,0,1,0,0,0,0,0,1,"Summary: on november 22, 2020, about 2122 local time, the towing vessels trent joseph and george c together were towing two barges southbound in the barataria waterway near barataria, louisiana. while passing through the open barataria bridge, the second barge contacted the bridge’s swing span. the bridge, which was the only means of road access for the community of barataria, was damaged and remained unusable until november 28. there were no injuries and no pollution reported. damage to the barge was negligible, while damage to the bridge was reported to be more than $500,000. Safety Issues: ​the national transportation safety board determines that the probable cause of the contact of the tow of the trent joseph with the barataria bridge was a corner of the bridge’s swing span protruding outside of its protective fendering into the navigable channel after recently attempted repairs to the limit switch system that controlled the swing span’s rotation limit.​​"
19,the towing vessel city of cleveland was pushing 18 cargo barges when it experienced a main engine failure followed by an engine room fire.,"the cause of the fire was the catastrophic failure of the port main engine resulting from the failure of a connecting rod assembly. if the vessel had a fixed fire-extinguishing system for the engine room, and a means to close the ventilation and open windows in the engine room from the outside, the fire may have been able to be extinguished. firefighting efforts were also hampered by the loss of electrical power to the single accessible fire pump.","Natchez, MS",Engine Room Fire aboard Towing Vessel City of Cleveland,2/26/2020,0,0,0,0,1,0,0,0,0,0,1,"Summary: the towing vessel city of cleveland was pushing 18 cargo barges when it experienced a main engine failure followed by an engine room fire. Safety Issues: the cause of the fire was the catastrophic failure of the port main engine resulting from the failure of a connecting rod assembly. if the vessel had a fixed fire-extinguishing system for the engine room, and a means to close the ventilation and open windows in the engine room from the outside, the fire may have been able to be extinguished. firefighting efforts were also hampered by the loss of electrical power to the single accessible fire pump."
20,"on august 18, 2017, about 1920 local time, the antigua and barbuda-flagged bulk carrier mia s was traveling downbound on the mississippi river near new orleans, louisiana, experiencing intermittent engine slowdowns. as the fully loaded vessel began to enter a bend of the river at six-mile point near mile 101, its propulsion engine program restricted the engine to dead slow ahead. within minutes, the vessel allided with the nashville avenue wharf, damaging its bow above the waterline and the wharf. no pollution or injuries among the 19 crewmembers were reported. damage to the mia s and the nashville avenue wharf each amounted to an estimated $1 million.","the probable cause of the allision of the bulk carrier mia s with the nashville avenue wharf was the chief engineer’s poor communication to the master regarding the potential for additional protective engine slowdowns at orders above dead slow ahead, and the master and pilot’s decision to proceed at full ahead, ​which resulted in a reduction in engine speed and subsequent loss of maneuverability while navigating through a sharp river bend.","New Orleans, LA",Allision of Bulk Carrier Mia S with Nashville Avenue Wharf,8/18/2017,1,1,0,0,0,1,0,0,1,0,0,"Summary: on august 18, 2017, about 1920 local time, the antigua and barbuda-flagged bulk carrier mia s was traveling downbound on the mississippi river near new orleans, louisiana, experiencing intermittent engine slowdowns. as the fully loaded vessel began to enter a bend of the river at six-mile point near mile 101, its propulsion engine program restricted the engine to dead slow ahead. within minutes, the vessel allided with the nashville avenue wharf, damaging its bow above the waterline and the wharf. no pollution or injuries among the 19 crewmembers were reported. damage to the mia s and the nashville avenue wharf each amounted to an estimated $1 million. Safety Issues: the probable cause of the allision of the bulk carrier mia s with the nashville avenue wharf was the chief engineer’s poor communication to the master regarding the potential for additional protective engine slowdowns at orders above dead slow ahead, and the master and pilot’s decision to proceed at full ahead, ​which resulted in a reduction in engine speed and subsequent loss of maneuverability while navigating through a sharp river bend."
